v2	Ix(U1:DRAIN)	Ix(U5:VDD)	Ix(U6:VDD)	Ix(U7:VDD)	Ix(U8:VDD)	Ix(U9:VDD)
1.330000000000001e+000	1.580414e-005	-4.124945e-005	-1.580361e-005	-8.644497e-005	-1.693901e-004	-3.168918e-004
1.340000000000001e+000	1.637531e-005	-4.245963e-005	-1.637476e-005	-8.876735e-005	-1.736254e-004	-3.242609e-004
1.350000000000001e+000	1.695631e-005	-4.368498e-005	-1.695574e-005	-9.111471e-005	-1.778984e-004	-3.316813e-004
1.360000000000001e+000	1.754708e-005	-4.492544e-005	-1.754650e-005	-9.348681e-005	-1.822084e-004	-3.391520e-004
1.370000000000001e+000	1.814758e-005	-4.618091e-005	-1.814699e-005	-9.588340e-005	-1.865549e-004	-3.466722e-004
1.380000000000001e+000	1.875776e-005	-4.745132e-005	-1.875715e-005	-9.830424e-005	-1.909373e-004	-3.542409e-004
1.390000000000001e+000	1.937755e-005	-4.873658e-005	-1.937693e-005	-1.007491e-004	-1.953552e-004	-3.618571e-004
1.400000000000001e+000	2.000693e-005	-5.003663e-005	-2.000629e-005	-1.032177e-004	-1.998079e-004	-3.695199e-004
1.410000000000001e+000	2.064582e-005	-5.135136e-005	-2.064518e-005	-1.057099e-004	-2.042951e-004	-3.772284e-004
1.420000000000001e+000	2.129419e-005	-5.268070e-005	-2.129353e-005	-1.082254e-004	-2.088161e-004	-3.849817e-004
1.430000000000001e+000	2.195199e-005	-5.402457e-005	-2.195132e-005	-1.107639e-004	-2.133705e-004	-3.927790e-004
1.440000000000001e+000	2.261917e-005	-5.538288e-005	-2.261848e-005	-1.133252e-004	-2.179578e-004	-4.006194e-004
1.450000000000001e+000	2.329568e-005	-5.675555e-005	-2.329498e-005	-1.159091e-004	-2.225774e-004	-4.085021e-004
1.460000000000001e+000	2.398147e-005	-5.814250e-005	-2.398076e-005	-1.185153e-004	-2.272289e-004	-4.164261e-004
1.470000000000001e+000	2.467650e-005	-5.954363e-005	-2.467577e-005	-1.211436e-004	-2.319118e-004	-4.243908e-004
1.480000000000001e+000	2.538072e-005	-6.095887e-005	-2.537998e-005	-1.237938e-004	-2.366256e-004	-4.323953e-004
1.490000000000001e+000	2.609408e-005	-6.238811e-005	-2.609334e-005	-1.264655e-004	-2.413699e-004	-4.404389e-004
1.500000000000001e+000	2.681655e-005	-6.383128e-005	-2.681579e-005	-1.291587e-004	-2.461442e-004	-4.485208e-004
1.510000000000001e+000	2.754807e-005	-6.528830e-005	-2.754730e-005	-1.318731e-004	-2.509479e-004	-4.566402e-004
1.520000000000001e+000	2.828860e-005	-6.675905e-005	-2.828782e-005	-1.346083e-004	-2.557808e-004	-4.647964e-004
1.530000000000001e+000	2.903810e-005	-6.824347e-005	-2.903731e-005	-1.373642e-004	-2.606423e-004	-4.729887e-004
1.540000000000001e+000	2.979653e-005	-6.974144e-005	-2.979572e-005	-1.401406e-004	-2.655320e-004	-4.812164e-004
1.550000000000001e+000	3.056384e-005	-7.125290e-005	-3.056302e-005	-1.429372e-004	-2.704494e-004	-4.894787e-004
