v2	Ix(U1:DRAIN)	Ix(U5:VDD)	Ix(U6:VDD)	Ix(U7:VDD)	Ix(U8:VDD)	Ix(U9:VDD)
1.200000000000001e+000	2.577156e-006	-5.869520e-006	-2.577113e-006	-1.223417e-005	-2.454278e-005	-4.793368e-005
1.210000000000001e+000	2.682817e-006	-6.092850e-006	-2.682773e-006	-1.267848e-005	-2.539897e-005	-4.954433e-005
1.220000000000001e+000	2.790708e-006	-6.320317e-006	-2.790662e-006	-1.313027e-005	-2.626850e-005	-5.117795e-005
1.230000000000001e+000	2.900825e-006	-6.551903e-006	-2.900778e-006	-1.358951e-005	-2.715129e-005	-5.283430e-005
1.240000000000001e+000	3.013167e-006	-6.787593e-006	-3.013119e-006	-1.405615e-005	-2.804724e-005	-5.451317e-005
1.250000000000001e+000	3.127732e-006	-7.027371e-006	-3.127683e-006	-1.453016e-005	-2.895626e-005	-5.621432e-005
1.260000000000001e+000	3.244515e-006	-7.271220e-006	-3.244465e-006	-1.501149e-005	-2.987825e-005	-5.793753e-005
1.270000000000001e+000	3.363515e-006	-7.519123e-006	-3.363464e-006	-1.550011e-005	-3.081313e-005	-5.968257e-005
1.280000000000001e+000	3.484729e-006	-7.771065e-006	-3.484676e-006	-1.599596e-005	-3.176081e-005	-6.144922e-005
1.290000000000001e+000	3.608152e-006	-8.027026e-006	-3.608098e-006	-1.649902e-005	-3.272118e-005	-6.323726e-005
1.300000000000001e+000	3.733781e-006	-8.286990e-006	-3.733727e-006	-1.700925e-005	-3.369417e-005	-6.504646e-005
1.310000000000001e+000	3.861614e-006	-8.550940e-006	-3.861558e-006	-1.752659e-005	-3.467967e-005	-6.687659e-005
1.320000000000001e+000	3.991644e-006	-8.818859e-006	-3.991588e-006	-1.805102e-005	-3.567759e-005	-6.872743e-005
1.330000000000001e+000	4.123870e-006	-9.090728e-006	-4.123812e-006	-1.858250e-005	-3.668785e-005	-7.059876e-005
1.340000000000001e+000	4.258286e-006	-9.366530e-006	-4.258227e-006	-1.912098e-005	-3.771035e-005	-7.249037e-005
1.350000000000001e+000	4.394888e-006	-9.646249e-006	-4.394828e-006	-1.966643e-005	-3.874499e-005	-7.440204e-005
1.360000000000001e+000	4.533672e-006	-9.929866e-006	-4.533611e-006	-2.021881e-005	-3.979169e-005	-7.633355e-005
1.370000000000001e+000	4.674633e-006	-1.021736e-005	-4.674571e-006	-2.077807e-005	-4.085035e-005	-7.828468e-005
